x,Constant Epsilon,Linearly Varying Epsilon,Exponentially Varying Epsilon,Random Varying Epsilon
0.34137,4.34124e-11,2.90062e-09,1.29674e-13,2.66454e-14
0.34538,6.16080e-10,1.82215e-07,1.92157e-12,1.11022e-14
0.34940,5.42292e-10,3.04595e-08,9.03722e-13,1.28786e-14
0.35341,2.92810e-10,4.24089e-07,1.20348e-12,1.15463e-14
0.35743,6.00362e-10,3.18498e-08,1.23279e-12,1.42109e-14
0.36145,1.19160e-10,1.96163e-07,1.03961e-12,9.32587e-15
0.36546,2.83073e-10,6.11954e-08,9.02389e-13,2.84217e-14
0.36948,5.20093e-10,6.62507e-07,4.30767e-13,1.15463e-14
0.37349,4.75769e-10,2.03931e-06,2.94520e-12,2.84217e-14
0.37751,5.15488e-10,1.39232e-05,7.14095e-13,3.55271e-15
0.38153,5.69168e-10,2.81316e-05,8.57980e-13,2.66454e-14
0.38554,1.28827e-10,6.95048e-06,1.45839e-12,2.66454e-14
0.38956,3.77456e-10,6.98928e-06,1.03917e-12,5.32907e-15
0.39357,7.65044e-10,9.66404e-05,9.55236e-13,3.99680e-15
0.39759,2.73223e-10,2.07813e-04,2.42073e-12,2.22045e-15
0.40161,1.06602e-09,2.24234e-04,9.41469e-14,1.77636e-15
0.40562,1.39767e-09,1.27489e-04,5.32907e-15,5.32907e-15
0.40964,1.08392e-10,1.35390e-05,6.57252e-14,3.37508e-14
0.41365,1.05412e-09,2.09275e-05,9.26814e-13,3.10862e-15
0.41767,1.99627e-11,1.53517e-06,1.59872e-13,3.55271e-15
0.42169,1.16098e-09,9.71117e-06,6.90559e-13,1.28786e-14
0.42570,5.80825e-10,1.01142e-06,1.82032e-12,1.33227e-15
0.42972,2.91545e-10,8.90183e-07,9.71667e-13,1.95399e-14
0.43373,4.68183e-10,3.56236e-06,1.57119e-12,2.22045e-14
0.43775,4.29198e-10,1.01389e-05,1.39488e-12,1.90958e-14
0.44177,6.89333e-10,1.49605e-05,7.31415e-13,6.66134e-15
